;;;;;;;;Carrosserie;;;;;;;;;;;;;;;;;;;Moteur;;;;;;;;;;;;;;Transmission et contrôle;;;;Performances;;;;;;;;;Suspension et freins;;;
id_trim;Marque;Modèle;Génération;Année de début (Génération);Année de fin (Génération);Série;Version;Type carrosserie;Nombre de places;Longueur [mm];Largeur [mm];Hauteur [mm];Empattement [mm];Voie avant [mm];Voie arrière [mm];Charge sur l'avant/essieu arrière [kg];Hauteur de chargement [mm];Soute (Longueur x Largeur x Hauteur) [mm];Volume de la soute [m3];Poids à vide [kg];Garde au sol [mm];Volume de coffre maximum [l];Volume de coffre minimum [l];Capacité de charge [kg];Poids brut [kg];Masse maximale autorisée de l'ensemble routier [kg];Type de moteur;Cylindrée [cm3];Puissance de moteur [ch];Régime de puissance maximale [tr/min];Couple maximal [N*m];Type d'admission;Emplacement des cylindres;Nombre de cylindres;Type de suralimentation;Diamètre de cylindre [mm];Course de piston [mm];Nombre de soupapes par cylindre;Régime de couple maximal [tr/min];Présence d'un intercooler;Type de transmission;Actionneur;Diamètre de rotation [m];Nombre de vitesses;Marque de carburant;Vitesse max [km/h];Consommation urbaine sur 100 km [l];Consommation mixte sur 100 km [l];Accélération (0-100 km/h) [seconde];Réserve de marche [km];Norme environnementale;Réservoir [l];Consommation route sur 100 km [l];Freins avant;Freins arrière;Suspension avant;Suspension arrière
198832;Citroen;2 CV;1 génération;1949;1960;Cabriolet;0.4 MT (12 ch);Cabriolet;4;3780;1480;1600;2400;1260;1260;;;;;505;;320;320;;810;;Essence;425;12;à 3 500;24,5;carburateur;Boxeur;2;;66;62;2;à 2 800;;Mécanique;Avant;;4;SP-92;60;;5;;;;20;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198833;Citroen;2 CV;1 génération;1949;1960;Cabriolet;0.4 MT (9 ch);Cabriolet;4;3780;1480;1600;2400;1260;1260;;;;;505;;320;320;;;;Essence;375;9;à 3 500;23;carburateur;Boxeur;2;;62;62;2;à 1 800;;Mécanique;Avant;;4;SP-92;65;;4,5;;;;20;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198827;Citroen;2 CV;2 génération;1960;1966;Cabriolet;0.4 MT (12 ch);Cabriolet;4;3780;1480;1600;2400;1260;1260;;;;;505;;320;320;;810;;Essence;425;12;à 3 500;24,5;carburateur;Boxeur;2;;66;62;2;à 2 800;;Mécanique;Avant;;4;SP-92;80;;5;;;;20;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198828;Citroen;2 CV;2 génération;1960;1966;Cabriolet;0.4 MT (13 ch);Cabriolet;4;3780;1480;1600;2400;1260;1260;;;;;505;;320;320;;825;;Essence;425;13;à 4 200;26,5;carburateur;Boxeur;2;;66;62;2;à 2 500;;Mécanique;Avant;;4;SP-92;84;;5;;;;20;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198829;Citroen;2 CV;2 génération;1960;1966;Cabriolet;0.4 MT (17 ch);Cabriolet;4;3780;1480;1600;2400;1260;1260;;;;;505;;320;320;;825;;Essence;425;17;à 5 000;26,5;carburateur;Boxeur;2;;66;62;2;à 2 500;;Mécanique;Avant;;4;SP-92;95;;5,25;;;;20;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198830;Citroen;2 CV;2 génération;1960;1966;Cabriolet;0.4 MT (18 ch);Cabriolet;4;3820;1480;1600;2400;1260;1260;;;;;525;;320;320;;860;;Essence;435;18;à 5 000;28;carburateur;Boxeur;2;;66;62;2;à 3 000;;Mécanique;Avant;;4;SP-92;95;;5,25;;;;20;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198831;Citroen;2 CV;2 génération;1960;1966;Cabriolet;0.6 MT (29 ch);Cabriolet;4;3875;1485;1600;2400;1260;1260;;;;;610;;320;320;;;;Essence;602;29;à 4 500;42;carburateur;Boxeur;2;;74;70;2;à 3 000;;Mécanique;Avant;;4;SP-92;104;;5,3;;;;25;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198821;Citroen;2 CV;3 génération;1966;1975;Cabriolet;0.4 MT (16 ch);Cabriolet;4;3820;1480;1600;2400;1260;1260;;;;;525;;320;320;;860;;Essence;435;16;à 4 200;28;carburateur;Boxeur;2;;66;62;2;à 3 000;;Mécanique;Avant;;4;SP-92;95;;5,25;;;;20;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
198822;Citroen;2 CV;3 génération;1966;1975;Cabriolet;0.4 MT (25 ch);Cabriolet;4;3830;1480;1600;2400;1260;1260;;;;;560;150;250;250;;895;;Essence;435;25;à 6 750;30,4;carburateur;Boxeur;2;;74;70;2;à 4 000;;Mécanique;Avant;11,2;4;SP-92;102;;5,4;;;;20;;Tambour;Tambour;Indépendante;Sur longitudinal du levier
